AR16,AR9,DC05-06-2010, DC05-6-21,DC05-06-2029,SU 03-24 ,SU 03-25 ,DC 04-5-2,AM 076 ,99 RS 28,99 RS 65,DC 5-5-4 ,SJ-16 ,SJ-11 ,SJ-57,DC 5-6-28 ,CP1,CP7,CP10,CP14,CP17,CP18,CP21,CP22,CP23,CP103,CP107,CP212,CP702,CP705,CM016,AM1,AM2,AM3,AM4,CT1,CT4,CT6,CT7,CT8,CT9,CT10,CT11,EO1,EO3,E04,EO5,EO6,EO2,Romero2013,99RS38,99RS39,11RC20,13AP53,13AP54,99RS53,99RS55,11RC27,13AP33
549.3863577,1787.41315,1233,1105,516,555,,618,1080,777,1175,1178,1178.1,1187.4,1205.4,,,1163.6,,993.3,1168.3,,1471.7,1051.30,,,,1100.4,,,,,,668.3,737.8,,1253.2,777.4,,,895.5,551.7,1792.5,821,,1029,,,,,698.6,887.2,550.0,644.0,1142,1176,678.1,966.7,981.8
550.1539967,1715.623686,1056,1341,1897,987,,1425,1074,584,1204,935,1179.1,1187.8,1211.0,,,1483.7,,1023.7,1221.2,,1345.7,1092.90,,,,1217.2,,,,,,671.3,757,,1259.7,888.1,,,897.1,554.4,1679.3,535,,532,,,,,734.5,911.3,561.6,657.1,1128,1174,774.3,994.5,983.1
564.3113282,1708.915271,455,1157,1163,1495,,1934,779,638,638,1212,1180.1,1189.9,1212.3,,,1501.8,,1031.1,1816.3,,1788,1146.70,,,,1200.3,,,,,,693,757.5,,1427.5,891.3,,,948,557.3,1894.9,420,,,,,,,808.4,927.8,563.5,673.7,1100,1166,799.0,2756,985.3
574.7990182,1700.228742,1859,1342,615,2608,,639,678,1092,484,1128,1180.3,1196.1,1217.7,,,1578.6,,995.1,1522.7,,1606,1099.40,,,,1373.3,,,,,,760.3,795.8,,1436.5,913.2,,,948.9,557.9,2687.7,1250,,,,,,,809.9,964.5,582.4,840.5,1100,1160,873.6,2750,996.6
575.6309797,1684.057335,1865,479,567,526,,1115,1093,624,1214,1088,1180.9,1198.7,1221.2,,,1644.5,,997.8,1804.5,,2047.6,1104.40,,,,1582.8,,,,,,766.2,803.6,,1735.9,923.2,,,949.3,558.7,2726.4,251,,,,,,,857.7,973.2,585.1,916.9,1088,1116,955.6,2652,2734
577.6170453,1682.866451,1040,2536,1387,1060,,2075,583,746,900,912,1182.8,1210.9,1221.6,,,1561.2,,1184.0,2760.2,,1820.3,1372.60,,,,1682.4,,,,,,777.4,818.7,,1986.3,933,,,960.8,558.7,3165.9,236,,,,,,,891.6,975.7,585.1,984.8,1078,1086,971.7,2648,2704
582.2387478,1666.735854,1057,1754,1088,656,,2034,468,1028,610,1009,1185.4,1242.6,1226.1,,,1549.8,,1122.4,,,2131.3,1545.90,,,,2022.2,,,,,,779.4,823.2,,2147.4,933.8,,,985,559.1,,1001,,,,,,,906.9,980.2,588.2,985.9,1068,1082,974.3,2606,2694
583.1365206,1660.866034,1796,1218,1339,427,,1175,788,555,1033,1158,1186.9,,1226.4,,,1682.9,,1220.1,,,1916.8,1908.40,,,,2178.4,,,,,,897.5,897.6,,2721.3,942.8,,,1050.5,559.4,,225,,,,,,,961.3,987.2,597.3,990.5,1054,1058,981.6,2516,1976
587.5670428,1655.273693,1841,596,581,534,,1476,561,581,1070,979,1187.6,,1230.9,,,1825.6,,1130.2,,,1907.6,2065.10,,,,,,,,,,905.9,900.9,,2715.7,1034.5,,,1026.6,559.5,,988,,,,,,,964.4,2772,601.9,998.5,1044,1056,981.8,2068,1806
597.9582887,1645.050162,1313,536,1699,1840,,922,665,477,2589,1446,1190.0,,1236.3,,,1898.5,,1178.2,,,2082.9,3356.30,,,,,,,,,,907.9,917.3,,,1018.2,,,1074.7,559.7,,1076,,,,,,,3178,2710,620.7,3202,1040,1056,987.0,1876,1786
600.2173905,1623.489398,1311,618,619,542,,473,853,576,1081,1271,1192.4,,1240.0,,,2062.6,,1208.6,,,2037.1,,,,,,,,,,,935,943.1,,,1078.5,,,1045.2,560.2,,1142,,,,,,,2788,2082,621.5,2808,1038,1042,999.0,1872,1784
601.2171297,1617.38164,1741,611,707,583,,,1258,,1239,1253,1192.4,,1252.9,,,2465.7,,1243.4,,,2622,,,,,,,,,,,943,950.7,,,1041.3,,,1026.2,560.6,,478,,,,,,,2016,2070,634.9,2294,1014,1038,2744,1790,1292
603.4306723,1604.985021,1839,1088,1826,1064,,,1115,,,1021,1192.5,,1254.7,,,2681.2,,1371.0,,,2696.4,,,,,,,,,,,945.1,951.8,,,1060.8,,,1038.7,560.7,,527,,,,,,,1868,1746,639.9,1794,,1026,2720,1744,1256
608.8504376,1598.191323,1872,1168,1888,526,,,1025,,,1038,1193.5,,1287.0,,,,,1338.6,,,2692.6,,,,,,,,,,,981.9,968.6,,,1265.5,,,1135.1,573.5,,949,,,,,,,1790,1484,646.6,1482,,1022,2710,1308,1244
613.5514869,1595.110636,1197,1190,1010,1103,,,909,,,956,1197.7,,1300.6,,,,,1288.6,,,,,,,,,,,,,,1023.4,975.3,,,1241.3,,,1173.3,600.7,,311,,,,,,,1752,1136,722.4,1112,,1000,2294,1254,1236
613.9937137,1589.127784,1450,2035,1919,961,,,1344,,,1084,1200.4,,1666.8,,,,,1579.9,,,,,,,,,,,,,,1054.3,989.2,,,1091.6,,,1121.7,601.5,,309,,,,,,,1452,1102,739.7,1098,,,2098,1160,1162
615.3224265,1582.801601,1449,697,536,2523,,,509,,,1229,1201.2,,1762.2,,,,,1514.7,,,,,,,,,,,,,,1162.5,994.7,,,1284.2,,,1153.8,602.2,,445,,,,,,,1264,1080,745.1,1072,,,1608,1106,1152
615.4379462,1566.158878,1224,977,887,1791,,,493,,,1240,1206.7,,1817.8,,,,,1739.8,,,,,,,,,,,,,,1626,995,,,1154.6,,,1767.9,604.1,,421,,,,,,,1182,1078,783.2,1058,,,1126,1102,1132
615.6556607,1558.18853,478,956,1343,,,,894,,,1096,1208.6,,1847.4,,,,,1742.5,,,,,,,,,,,,,,1702.3,1002.9,,,1177.5,,,1868.4,637.4,,459,,,,,,,1150,1066,806.2,1056,,,1100,1094,1130
621.4096901,1554.419106,487,976,1390,,,,484,,,1201,1209.9,,1862.0,,,,,2096.9,,,,,,,,,,,,,,1975.7,1056.3,,,1153.8,,,1873.1,639.5,,421,,,,,,,1110,1064,856.2,1042,,,1092,1086,1116
622.2848717,1553.165594,499,915,568,,,,465,,,1109,1218.0,,1872.3,,,,,1869.8,,,,,,,,,,,,,,2005.3,1078.8,,,1189.2,,,2589,639.7,,,,,,,,,1106,1046,890.5,1036,,,1082,1080,1116
623.0033316,1541.572598,508,614,1013,,,,1164,,,1180,1220.2,,1874.5,,,,,2145.6,,,,,,,,,,,,,,2720.6,1091.3,,,1173.4,,,2731.5,640.4,,,,,,,,,1102,1046,946.2,1034,,,1076,1062,1094
635.0633755,1525.043109,1187,505,546,,,,1683,,,1269,1221.5,,,,,,,2133.5,,,,,,,,,,,,,,2777.3,1147.4,,,1189.3,,,2686.8,837.7,,,,,,,,,1086,1044,947.4,1028,,,1072,1050,1088
637.1045225,1524.004717,1106,565,1105,,,,1275,,,857,1240.8,,,,,,,2635.6,,,,,,,,,,,,,,,1168.2,,,1201.9,,,2686,907.1,,,,,,,,,1074,1042,949.3,,,,1060,1026,1080
638.1338819,1522.185172,1095,1055,766,,,,1226,,,1101,1290.8,,,,,,,2466.5,,,,,,,,,,,,,,,1322.6,,,1177.1,,,2716.6,1028.2,,,,,,,,,1056,1038,995.1,,,,1048,1020,1078
640.3832265,1508.93498,1065,1112,609,,,,,,,943,1304.7,,,,,,,,,,,,,,,,,,,,,,1349.7,,,1244.6,,,,1077.2,,,,,,,,,1048,1038,,,,,1038,1020,1042
640.5953677,1494.744957,1792,509,609,,,,,,,849,1680.6,,,,,,,,,,,,,,,,,,,,,,1431.6,,,1242.8,,,,1046.4,,,,,,,,,1048,1034,,,,,1012,1020,1036
649.3234351,1493.379331,582,1175,1442,,,,,,,1062,1728.2,,,,,,,,,,,,,,,,,,,,,,1513.8,,,1234.3,,,,1170.6,,,,,,,,,1044,1020,,,,,1010,1014,1016
649.4493531,1490.578414,1063,504,666,,,,,,,1048,1765.0,,,,,,,,,,,,,,,,,,,,,,1694.5,,,1600.8,,,,1107.7,,,,,,,,,1040,1014,,,,,1010,1008,1012
659.2866724,1490.2322,1085,678,569,,,,,,,1182,1794.1,,,,,,,,,,,,,,,,,,,,,,1748.7,,,1331.3,,,,1121,,,,,,,,,1040,1010,,,,,1008,1002,1006
666.4275699,1477.560115,1265,594,1180,,,,,,,1186,1797.7,,,,,,,,,,,,,,,,,,,,,,1773.3,,,1441.6,,,,1106.3,,,,,,,,,1036,1004,,,,,,,
667.1433642,1459.871707,1156,595,562,,,,,,,1164,,,,,,,,,,,,,,,,,,,,,,,2190.2,,,1539.7,,,,1101.9,,,,,,,,,1032,,,,,,,,
667.3402693,1449.92829,1199,507,1091,,,,,,,869,,,,,,,,,,,,,,,,,,,,,,,2742.8,,,1603.4,,,,1051.2,,,,,,,,,1024,,,,,,,,
670.0563666,1443.277995,1029,676,605,,,,,,,1169,,,,,,,,,,,,,,,,,,,,,,,,,,1642.5,,,,1069,,,,,,,,,1018,,,,,,,,
671.1456592,1438.24688,929,520,623,,,,,,,1051,,,,,,,,,,,,,,,,,,,,,,,,,,1746.5,,,,1078.7,,,,,,,,,,,,,,,,,
673.4997093,1365.7115,471,2758,1020,,,,,,,949,,,,,,,,,,,,,,,,,,,,,,,,,,1810.5,,,,1604.3,,,,,,,,,,,,,,,,,
678.5325183,1352.581555,433,2688,2001,,,,,,,912,,,,,,,,,,,,,,,,,,,,,,,,,,1762,,,,1761,,,,,,,,,,,,,,,,,
685.4547724,1347.030499,1905,628,919,,,,,,,1079,,,,,,,,,,,,,,,,,,,,,,,,,,1744.5,,,,1783.7,,,,,,,,,,,,,,,,,
687.7723539,1345.780106,499,635,1068,,,,,,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,1795.3,,,,2703,,,,,,,,,,,,,,,,,
690.1553595,1334.808994,1104,648,564,,,,,,,1215,,,,,,,,,,,,,,,,,,,,,,,,,,1843.1,,,,2777.1,,,,,,,,,,,,,,,,,
690.8768585,1285.831422,502,696,1876,,,,,,,937,,,,,,,,,,,,,,,,,,,,,,,,,,2644.4,,,,2719.2,,,,,,,,,,,,,,,,,
703.6710858,1230.341182,954,656,572,,,,,,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708.3561314,1221.161009,890,1264,1025,,,,,,,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713.5645256,1193.481338,1223,941,545,,,,,,,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717.4427293,1188.122953,1223,1148,830,,,,,,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732.4723749,1175.744295,1740,641,659,,,,,,,1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755.2822217,1173.757686,1834,614,1059,,,,,,,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767.6621289,1171.212546,1279,925,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781.3752601,1080.20705,431,539,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800.4504807,1070.379427,1865,553,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832.7179918,1054.123006,499,611,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849.4719356,1045.074766,1014,604,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858.8370452,1037.011004,997,1066,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.9479943,1028.660269,1238,2583,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892.3035561,1027.715275,1166,950,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899.8146044,1016.236104,489,568,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902.4445793,1012.59375,1478,562,2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939.4071408,,1176,552,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947.8372558,,488,2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960.2292438,,996,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978.5681318,,1213,1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1857,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1718,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
